family,Model,%resolved,date,benchmark_date,data
Anthropic,Claude Opus 3,22.00%,2024-03-04,2024-08-13,swe-bench-verified
OpenAI,AppMap Navie + GPT 4o,14.60%,2024-06-15,2024-08-13,swe-bench-verified
Anthropic,SWE-agent + Claude 3.5 Sonnet,18.13%,2024-06-20,2024-08-13,swe-bench-verified
Anthropic,Claude Sonnet 3.5 V1,33.00%,2024-06-20,2024-08-13,swe-bench-verified
OpenAI,AutoCodeRover (v20240620) + GPT 4o (2024-05-13),18.83%,2024-06-28,2024-08-13,swe-bench-verified
Amazon,amazon q developer agent,19.75%,2024-07-21,2024-08-13,swe-bench-verified
OpenAI,SWE-agent + GPT 4o (2024-05-13),23.20%,2024-07-28,2024-08-13,swe-bench-verified
Deepseek,Deepseek V2.5,22.60%,2024-08-05,2024-08-13,swe-bench-verified
OpenAI,OpenAI o1,48.90%,2024-08-12,2024-08-13,swe-bench-verified
OpenAI,EPAM AI/Run Developer Agent + GPT4o,24.00%,2024-08-20,2024-08-20,swe-bench-verified
Anthropic,Claude Sonnet 3.5 V2,49.00%,2024-10-22,2024-10-22,swe-bench-verified
Deepseek,DeepSeek-V3,42.00%,2024-12-26,2024-12-26,swe-bench-verified
Deepseek,Deepseek R1,49.20%,2025-01-20,2025-01-20,swe-bench-verified
Anthropic,Claude Sonnet 3.7,62.30%,2025-02-24,2025-02-24,swe-bench-verified
OpenAI,GPT 4.1,54.60%,2025-04-14,2025-04-14,swe-bench-verified
OpenAI,OpenAI o3,69.10%,2025-04-16,2025-04-16,swe-bench-verified
OpenAI,OpenAI codex 1,72.10%,2025-05-16,2025-05-16,swe-bench-verified
Mistral,Devstral,46.80%,2025-05-21,2025-05-21,swe-bench-verified
Anthropic,Claude Sonnet 4,72.70%,2025-05-22,2025-05-22,swe-bench-verified
Anthropic,Claude Opus 4,72.50%,2025-05-22,2025-05-22,swe-bench-verified
Google,gemini 2.5 Pro,63.80%,2025-06-17,2025-06-17,swe-bench-verified
Z.ai,GLM 4.5,64.20%,2025-07-28,2025-07-28,swe-bench-verified
Anthropic,Claude Opus 4.1,74.50%,2025-08-05,2025-08-05,swe-bench-verified
OpenAI,GPT 5,72.50%,2025-08-07,2025-08-07,swe-bench-verified
Z.ai,GLM 4.6,68.00%,2025-09-30,2025-09-30,swe-bench-verified
Deepseek,DeepSeek-V3.1-Terminus,68.40%,2025-09-22,2025-09-22,swe-bench-verified
Deepseek,DeepSeek-V3.2-Exp,67.80%,2025-09-29,2025-09-29,swe-bench-verified
MiniMax,Minimax 2,69.40%,2025-10-27,2025-10-27,swe-bench-verified
Z.ai,GLM 4.7,73.80%,2025-12-22,2025-12-22,swe-bench-verified
Anthropic,Claude Sonnet 4.6,79.60%,2026-02-17,2026-02-17,swe-bench-verified
